"Date","Price","Open","High","Low","Change %"
"Aug 31, 2020","1.3369","1.3342","1.3396","1.3301","0.15%"
"Aug 28, 2020","1.3349","1.3208","1.3357","1.3185","1.14%"
"Aug 27, 2020","1.3198","1.3207","1.3285","1.3162","-0.08%"
"Aug 26, 2020","1.3208","1.3153","1.3220","1.3117","0.44%"
"Aug 25, 2020","1.3150","1.3068","1.3171","1.3054","0.67%"
"Aug 24, 2020","1.3063","1.3086","1.3149","1.3052","-0.18%"
"Aug 21, 2020","1.3087","1.3216","1.3256","1.3059","-0.95%"
"Aug 20, 2020","1.3212","1.3096","1.3226","1.3063","0.87%"
"Aug 19, 2020","1.3098","1.3239","1.3269","1.3094","-1.04%"
"Aug 18, 2020","1.3235","1.3099","1.3250","1.3095","1.02%"
"Aug 17, 2020","1.3102","1.3087","1.3123","1.3074","0.14%"
"Aug 14, 2020","1.3084","1.3060","1.3144","1.3047","0.16%"
"Aug 13, 2020","1.3063","1.3035","1.3125","1.3030","0.24%"
"Aug 12, 2020","1.3032","1.3053","1.3068","1.3004","-0.12%"
"Aug 11, 2020","1.3048","1.3078","1.3132","1.3041","-0.17%"
"Aug 10, 2020","1.3070","1.3042","1.3104","1.3018","0.15%"
"Aug 07, 2020","1.3051","1.3153","1.3155","1.3009","-0.72%"
"Aug 06, 2020","1.3146","1.3114","1.3187","1.3111","0.26%"
"Aug 05, 2020","1.3112","1.3073","1.3162","1.3056","0.40%"
"Aug 04, 2020","1.3060","1.3075","1.3109","1.2981","-0.09%"
"Aug 03, 2020","1.3072","1.3082","1.3113","1.3004","-0.12%"
